yr_modahrmn,message_type,speed,vehicle_state,charging_status,total_volt,total_current,mileage,standard_soc,max_cell_volt,max_volt_cell_id,min_cell_volt,min_cell_volt_id,max_temp,max_temp_probe_id,min_temp,min_temp_probe_id,max_alarm_lvl,gen_alarm_sign,bat_fault_list,isulate_r,dcdc_stat,sing_temp_num,gear,tag
2019/9/26 17:11,REALTIME,0,1,3,331,0,45114,100,3.735,30,3.522,55,34,4,31,2,1,16384,0,60000,0,28,15,D
2019/9/27 3:18,REALTIME,0,2,3,296,0,45382,25,3.233,38,3.193,55,34,12,30,4,1,16384,0,60000,0,28,15,D
2019/9/27 3:18,REALTIME,0,2,3,296,0,45382,25,3.23,44,3.19,60,-40,1,-40,1,1,16384,0,60000,0,28,15,D
2019/9/27 3:18,REALTIME,0,2,3,296,0.7,45382,25,3.233,38,3.193,55,34,12,30,4,1,16384,0,60000,1,28,15,D
2019/9/27 3:18,REALTIME,0,2,3,296,0.7,45382,25,3.23,44,3.19,60,34,1,30,13,1,16384,0,60000,1,28,15,D
2019/9/27 16:05,REALTIME,0,2,3,0,0,45573,48,3.28,46,3.26,61,-40,1,-40,1,1,16392,1,60000,0,28,15,UD
2019/9/27 16:05,REALTIME,0,2,3,300,0.3,45573,48,3.28,46,3.26,25,34,1,32,11,1,16384,0,60000,0,28,15,D
2019/9/27 16:05,REALTIME,0,2,3,0,0,45573,48,3.283,37,3.267,57,34,1,32,2,1,16392,1,60000,0,28,15,UD
2019/9/27 16:05,REALTIME,0,2,3,300,0.3,45573,48,3.283,37,3.267,57,34,1,32,2,1,16384,0,60000,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.72,37,3.5,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.744,30,3.513,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.72,37,3.5,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.744,30,3.513,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.72,37,3.5,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.744,87,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.71,37,3.5,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,332,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:15,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.732,92,3.501,55,35,14,31,2,1,16384,0,1020,0,28,15,D
2019/9/27 17:16,REALTIME,0,2,4,331,0,45573,100,3.71,37,3.49,60,35,22,31,11,1,16384,0,1020,0,28,15,D
